Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,5000000,38,"480x270"
1,0,760,0,0,5000000,38,"480x270"
2,0,760,0,-3126.6666666666665,5000000,38,"480x270"
3,0,760,0,-5873.333333333333,5000000,38,"480x270"
4,3.909,507,0.150183,-5847.85,5000000,38,"320x180"
5,3.815,507,0.433058,-5780.266666666666,5000000,38,"320x180"
6,3.284,507,0.739337,-5734.4047619047615,5000000,38,"320x180"
7,7.018,507,1.234698,-5701.214285714285,5000000,38,"320x180"
8,10.753,507,1.264428,-5676.069444444444,5000000,38,"320x180"
9,10.753,507,1.394268,-5656.355555555556,5000000,38,"320x180"
10,10.222,507,1.947008,-5640.481818181818,5000000,38,"320x180"
11,14.052,760,1.950273,-5629.340909090909,5000000,38,"480x270"
12,13.69,760,2.33936,-5598.653846153846,5000000,38,"480x270"
13,13.659,760,2.528755,-5572.456043956044,5000000,38,"480x270"
14,13.393,760,2.627986,-5549.828571428571,5000000,38,"480x270"
15,12.628,760,3.38952,-5530.0875,5000000,38,"480x270"
16,12.609,760,3.602235,-5512.713235294118,5000000,38,"480x270"
17,16.315,760,3.887325,-5497.303921568628,5000000,38,"480x270"
18,19.956,760,4.118901,-5483.543859649123,5000000,38,"480x270"
19,23.88,1013,4.167592,-5471.847368421053,5000000,38,"640x360"
20,23.83,1013,4.248019,-5448.5690476190475,5000000,38,"640x360"
21,23.751,1013,4.330994,-5427.424242424242,5000000,38,"640x360"
22,23.565,1013,4.459119,-5408.132411067194,5000000,38,"640x360"
23,23.538,1013,4.548964,-5390.460144927536,5000000,38,"640x360"
24,23.237,1013,4.76897,-5374.211666666666,5000000,38,"640x360"
25,23.229,1255,4.890606,-5359.593846153846,5000000,38,"640x360"
26,22.768,1255,5.284103,-5336.7307692307695,5000000,38,"640x360"
27,22.503,1255,5.529359,-5315.507936507936,5000000,38,"640x360"
28,21.972,1255,6.103892,-5295.754926108374,5000000,38,"640x360"
29,21.175,1255,7.047563,-5277.324137931035,5000000,38,"640x360"
30,20.643,1255,7.548271,-5260.087096774194,5000000,38,"640x360"
31,19.581,1255,8.517739,-5243.931451612903,5000000,38,"640x360"
32,23.48,1255,8.671004,-5228.758522727273,5000000,38,"640x360"
33,23.284,1255,8.86948,-5214.4812834224595,5000000,38,"640x360"
34,26.925,1255,9.189663,-5201.02268907563,5000000,38,"640x360"
35,30.784,1884,9.28415,-5188.813492063492,5000000,38,"768x432"
36,30.784,1884,9.287019,-5159.767267267267,5000000,38,"768x432"
37,30.712,1884,9.42109,-5132.252489331437,5000000,38,"768x432"
38,30.253,1884,9.982988,-5106.151147098515,5000000,38,"768x432"
39,29.987,3134,10.086697,-5082.158333333334,5000000,38,"1024x576"
40,29.19,3134,11.015405,-5028.048780487805,5000000,38,"1024x576"
41,28.393,3134,11.843779,-4976.518583042973,5000000,38,"1024x576"
42,27.597,3134,12.547415,-4927.387596899225,5000000,38,"1024x576"
