Index, Buffer Level, Bitrate, Playback Timestamp, Frame Rate, Resolution
0,0,760,0,30,"480x270"
1,0,760,0,30,"480x270"
2,0,760,0,30,"480x270"
3,0,760,0,30,"480x270"
4,4,254,0,30,"320x180"
5,3.999,254,0.0815,30,"320x180"
6,7.919,9915,0.121854,30,"1920x1080"
7,7.75,9915,0.374854,30,"1920x1080"
8,7.625,9915,0.415062,30,"1920x1080"
9,6.611,9915,1.513812,30,"1920x1080"
10,6.446,1013,1.553958,30,"640x360"
11,6.325,1013,1.675416,30,"640x360"
12,10.325,1013,1.840312,30,"640x360"
13,14.16,4953,1.840312,30,"1280x720"
14,14.039,4953,2.001229,30,"1280x720"
15,14.039,4953,2.041354,30,"1280x720"
16,13.672,4953,2.327583,30,"1280x720"
17,17.672,1884,2.327583,30,"768x432"
18,17.672,1884,2.327583,30,"768x432"
19,17.672,1884,2.327583,30,"768x432"
20,17.672,760,2.327583,30,"480x270"
21,17.672,760,2.327583,30,"480x270"
22,17.672,254,2.327583,30,"320x180"
23,17.672,254,2.327583,30,"320x180"
24,17.672,9915,2.327583,30,"1920x1080"
25,17.629,9915,2.57402,30,"1920x1080"
26,17.382,760,2.617562,30,"480x270"
27,17.342,760,2.741041,30,"480x270"
28,17.259,3134,2.741041,30,"1024x576"
29,0,3134,634.566,30,"1024x576"
30,0,3134,634.566,30,"1024x576"
31,0,3134,634.566,30,"1024x576"
32,0,3134,634.566,30,"1024x576"
