Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,5000000,13,"480x270"
1,0,760,0,0,5000000,13,"480x270"
2,0,760,0,-3126.6666666666665,5000000,13,"480x270"
3,0,760,0,-5873.333333333333,5000000,13,"480x270"
4,4,1884,0.113522,-5790.2,5000000,13,"768x432"
5,3.725,1884,0.331545,-5495.466666666666,5000000,13,"768x432"
6,3.069,1884,1.192922,-5289.428571428572,5000000,13,"768x432"
7,6.647,3134,1.364306,-5159.464285714286,5000000,13,"1024x576"
8,6.635,3134,1.456622,-4898.416666666667,5000000,13,"1024x576"
9,5.21,3134,3.018665,-4690.822222222222,5000000,13,"1024x576"
10,4.85,4953,3.184881,-4538.3,5000000,13,"1280x720"
11,2.82,4953,5.411582,-4243.606060606061,5000000,13,"1280x720"
12,6.555,4953,5.607134,-3994.826923076923,5000000,13,"1280x720"
13,4.961,4953,7.215691,-3782,5000000,13,"1280x720"
14,8.431,4953,7.730791,-3597.852380952381,5000000,13,"1280x720"
15,7.634,4953,8.575171,-3436.95,5000000,13,"1280x720"
16,11.103,4953,8.908495,-3295.1507352941176,5000000,13,"1280x720"
17,10.572,4953,9.488529,-3169.2418300653594,5000000,13,"1280x720"
18,14.041,4953,10.033643,-3056.6929824561403,5000000,13,"1280x720"
19,13.666,4953,10.466038,-2955.484210526316,5000000,13,"1280x720"
20,17.51,9915,10.593681,-2875.7976190476193,5000000,13,"1920x1080"
21,17.406,9915,10.681202,-2566.0519480519483,5000000,13,"1920x1080"
22,15.651,9915,12.409925,-2283.333992094861,5000000,13,"1920x1080"
23,14.855,9915,13.321107,-2024.253623188406,5000000,13,"1920x1080"
24,14.589,14932,13.432067,-1794.3266666666668,5000000,13,"3840x2160"
25,12.73,14932,15.524668,-1380.8184615384616,5000000,13,"3840x2160"
26,10.871,14932,17.176941,-998.0113960113958,5000000,13,"3840x2160"
27,7.684,14932,20.322577,-642.6084656084658,5000000,13,"3840x2160"
28,6.09,14932,22.174941,-311.768472906404,5000000,13,"3840x2160"
29,9.028,14932,22.976681,-3.029885057470892,5000000,13,"3840x2160"
30,8.231,14932,23.808681,285.7505376344079,5000000,13,"3840x2160"
31,11.965,14932,24.260055,556.447580645161,5000000,13,"3840x2160"
32,10.637,14932,25.559272,810.708333333333,5000000,13,"3840x2160"
33,13.044,14932,26.979117,1049.9857397504456,5000000,13,"3840x2160"
34,11.716,14932,28.289758,1275.566386554622,4000000,18,"3840x2160"
35,15.341,14932,28.726529,1488.5936507936512,4000000,18,"3840x2160"
36,13.857,14932,30.15379,1690.0870870870876,4000000,18,"3840x2160"
37,17.544,14932,30.651887,1880.9587482219058,4000000,18,"3840x2160"
38,15.466,14932,32.602328,2062.026990553307,4000000,18,"3840x2160"
39,18.935,14932,33.234827,2234.0282051282047,4000000,18,"3840x2160"
40,17.34,14932,34.901959,2397.6268292682926,4000000,18,"3840x2160"
41,18.95,14932,37.235984,2553.4239256678284,4000000,18,"3840x2160"
42,16.028,14932,40.02698,2701.9645625692137,4000000,18,"3840x2160"
43,19.763,14932,40.435013,2843.7441860465115,4000000,18,"3840x2160"
44,18.435,14932,41.615453,2979.2141414141424,4000000,18,"3840x2160"
45,21.638,14932,42.498273,3108.786473429951,4000000,18,"3840x2160"
46,20.575,14932,43.648397,3232.8381128584642,4000000,18,"3840x2160"
47,24.043,14932,44.135196,3351.714539007091,4000000,18,"3840x2160"
48,22.446,14932,45.81857,3465.732993197278,4000000,18,"3840x2160"
49,25.899,14932,46.284335,3575.1853061224483,4000000,18,"3840x2160"
50,24.566,14932,47.468553,3680.3403921568624,4000000,18,"3840x2160"
51,28.285,14932,47.939763,3781.44645550528,4000000,18,"3840x2160"
52,26.434,14932,49.586736,3878.7329462989837,4000000,18,"3840x2160"
53,30.117,14932,50.095112,3972.412299091544,4000000,18,"3840x2160"
54,28.564,14932,51.617907,4062.6814814814825,4000000,18,"3840x2160"
55,31.765,14932,52.363583,4149.723376623377,4000000,18,"3840x2160"
56,30.964,14932,53.138702,4233.708020050126,4000000,18,"3840x2160"
57,34.431,14932,53.598036,4314.7937084089535,4000000,18,"3840x2160"
58,33.098,14932,55.014609,4393.127995324372,4000000,18,"3840x2160"
59,36.706,14932,55.355296,4468.848587570621,4000000,18,"3840x2160"
60,34.966,14932,57.039577,4542.084153005464,4000000,18,"3840x2160"
61,38.433,14932,57.81997,4612.95505023797,4000000,18,"3840x2160"
62,36.741,14932,59.274077,4681.573988735279,3000000,28,"3840x2160"
63,40.568,14932,59.558163,4748.046626984127,3000000,28,"3840x2160"
64,38.438,14932,61.714002,4812.472115384615,3000000,28,"3840x2160"
65,41.907,14932,62.27509,4874.943589743589,3000000,28,"3840x2160"
66,39.511,14932,64.56075,4935.548620533695,3000000,28,"3840x2160"
67,43.245,14932,65.009572,4994.369622475855,3000000,28,"3840x2160"
68,41.117,14932,66.98557,5051.484228473999,3000000,28,"3840x2160"
69,44.82,14932,67.313421,5106.965631469979,3000000,28,"3840x2160"
70,42.458,14932,69.605835,5160.882897384305,3000000,28,"3840x2160"
71,45.393,14932,70.735838,5213.301251956182,3000000,28,"3840x2160"
72,43.267,14932,72.999502,5264.282343987823,3000000,28,"3840x2160"
73,46.703,14932,73.424638,5313.884487226953,3000000,28,"3840x2160"
74,44.341,14932,75.867105,5362.162882882883,3000000,28,"3840x2160"
75,48.076,14932,76.114838,5409.1698245614025,3000000,28,"3840x2160"
76,45.949,14932,78.201682,5454.954887218044,3000000,28,"3840x2160"
77,49.152,14932,78.852836,5499.565101565102,3000000,28,"3840x2160"
78,47.557,14932,80.573375,5543.04511522233,3000000,28,"3840x2160"
79,51.025,14932,81.112001,5585.437341772153,3000000,28,"3840x2160"
80,48.899,14932,83.16079,5626.782098765432,3000000,28,"3840x2160"
81,52.101,14932,84.073478,5667.117735621801,3000000,28,"3840x2160"
82,50.24,14932,85.957449,5706.480752277403,3000000,28,"3840x2160"
83,53.709,14932,86.401327,5744.905909351692,3000000,28,"3840x2160"
84,51.316,14932,88.805226,5782.426330532213,2000000,58,"3840x2160"
85,54.785,14932,89.310015,5819.073597811217,2000000,58,"3840x2160"
86,51.862,14932,92.25376,5854.877840149693,2000000,58,"3840x2160"
87,55.595,14932,92.517302,5889.8678160919535,2000000,58,"3840x2160"
88,52.672,14932,95.420237,5924.070990806946,2000000,58,"3840x2160"
89,56.406,14932,95.715818,5957.513607990011,2000000,58,"3840x2160"
90,53.749,14932,98.435955,5990.220757020757,2000000,58,"3840x2160"
91,57.548,9915,98.454953,5912.551958910653,2000000,58,"1920x1080"
92,55.622,9915,100.415411,5891.098527349228,2000000,58,"1920x1080"
93,53.762,9915,102.329549,5870.101006634637,2000000,58,"1920x1080"
94,56.965,9915,103.223833,5849.545016797312,2000000,58,"1920x1080"
95,54.573,9915,105.53809,5829.416776315789,2000000,58,"1920x1080"
96,57.776,9915,106.486419,5809.703071305841,2000000,58,"1920x1080"
97,55.384,9915,108.634589,5790.391226593731,2000000,58,"1920x1080"
98,57.789,9915,110.256717,5771.469078540507,2000000,58,"1920x1080"
99,56.992,9915,111.124082,5752.924949494949,2000000,58,"1920x1080"
100,59.929,9915,112.160295,5734.747623762376,2000000,58,"1920x1080"
101,58.334,9915,113.824247,5716.926324985439,2000000,58,"1920x1080"
102,60.74,9915,115.470386,5699.4506948410435,2000000,58,"1920x1080"
103,59.677,9915,116.564933,5682.3107729649,2000000,58,"1920x1080"
104,62.614,9915,117.605538,5665.496978021978,2000000,58,"1920x1080"
105,60.675,9915,119.488746,5649.000089847259,1500000,200,"1920x1080"
106,63.956,9915,120.180902,5632.811232586846,1500000,200,"1920x1080"
107,61.564,9915,122.624129,5616.921858774662,1500000,200,"1920x1080"
108,65.08,9915,122.932525,5601.323734284742,1500000,200,"1920x1080"
109,62.375,9915,125.686978,5586.00892410342,1500000,200,"1920x1080"
110,63.186,9915,128.884107,5570.9697788697795,1500000,200,"1920x1080"
111,62.389,9915,129.81742,5556.198922136422,1500000,200,"1920x1080"
112,64.263,9915,131.897544,5541.689238305942,1500000,200,"1920x1080"
113,62.668,9915,133.422308,5527.433861201676,1500000,200,"1920x1080"
114,65.605,9915,134.454718,5513.426163234173,1500000,200,"1920x1080"
115,64.276,9915,135.960675,5499.659745127437,1500000,200,"1920x1080"
116,67.213,9915,136.899765,5486.12842617153,1500000,200,"1920x1080"
117,65.087,9915,138.979519,5472.826234970304,1500000,200,"1920x1080"
118,68.025,9915,140.037442,5459.747400655178,1500000,200,"1920x1080"
119,65.898,9915,142.334339,5446.886344537816,1500000,200,"1920x1080"
120,69.304,9915,142.789007,5434.2376721763085,1500000,200,"1920x1080"
121,66.444,9915,145.654294,5421.796165831189,1500000,200,"1920x1080"
122,70.069,9915,146.040277,5409.5567772890845,1500000,200,"1920x1080"
123,68.052,9915,148.192263,5397.514621033306,2000000,58,"1920x1080"
124,70.192,9915,149.985918,5385.6649677419355,2000000,58,"1920x1080"
125,68.863,9915,151.302369,5374.003238095238,2000000,58,"1920x1080"
126,72.597,9915,151.642885,5362.524996875391,2000000,58,"1920x1080"
127,70.205,9915,153.822362,5351.22594734252,2000000,58,"1920x1080"
128,72.345,9915,155.849479,5340.1019258720935,2000000,58,"1920x1080"
129,70.75,9915,157.383361,5329.148896839593,2000000,58,"1920x1080"
130,72.624,9915,159.630597,5318.362947739282,2000000,58,"1920x1080"
131,71.296,9915,160.746321,5307.740284524636,2000000,58,"1920x1080"
132,74.764,9915,161.420947,5297.2772271588055,2000000,58,"1920x1080"
133,73.169,9915,163.094889,5286.970205364156,2000000,58,"1920x1080"
134,76.372,9915,163.716271,5276.815754560532,2000000,58,"1920x1080"
135,74.778,9915,165.431585,5266.8105119825705,2000000,58,"1920x1080"
136,77.98,9915,166.078744,5256.951212966938,2000000,58,"1920x1080"
137,75.589,9915,168.611073,5247.234687400825,2000000,58,"1920x1080"
138,78.526,9915,169.713585,5237.657856323638,2000000,58,"1920x1080"
139,77.197,9915,171.045555,5228.217728674204,2000000,58,"1920x1080"
140,80.665,9915,171.59394,5218.911398176291,2000000,58,"1920x1080"
141,79.071,9915,173.063208,5209.736040355609,2000000,58,"1920x1080"
142,82.747,9915,173.340129,5200.688909681867,2000000,58,"1920x1080"
143,80.694,9915,175.439768,5191.767336829838,2000000,58,"1920x1080"
144,83.908,9915,176.168079,5182.968726053639,2000000,58,"1920x1080"
145,82.064,9915,178.017085,5174.290552668872,2000000,58,"1920x1080"
146,85.534,9915,178.59953,5165.730360637406,3000000,28,"1920x1080"
147,84.221,9915,179.973179,5157.285760250046,3000000,28,"1920x1080"
148,87.957,9915,180.203388,5148.954425902413,3000000,28,"1920x1080"
149,85.59,9915,182.590116,5140.7340939597325,3000000,28,"1920x1080"
150,89.124,9915,182.886197,5132.622560706401,3000000,28,"1920x1080"
151,87.743,9915,184.503512,5124.617680376437,3000000,28,"1920x1080"
152,90.422,9915,185.762487,5116.717363261094,3000000,28,"1920x1080"
153,89.364,9915,186.839884,5108.919573890162,3000000,28,"1920x1080"
154,92.308,9915,187.701244,5101.222329283619,3000000,28,"1920x1080"
155,90.983,9915,189.238086,5093.623697270472,3000000,28,"1920x1080"
156,94.186,9915,189.82805,5086.121794871795,3000000,28,"1920x1080"
157,92.596,9915,191.425993,5078.714786745142,3000000,28,"1920x1080"
158,96.067,9915,192.123093,5071.400883687604,3000000,28,"1920x1080"
159,95.269,9915,192.902465,5064.178341194967,3000000,28,"1920x1080"
