Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,9000000,10,"480x270"
1,0,760,0,0,9000000,10,"480x270"
2,0,760,0,-3126.6666666666665,9000000,10,"480x270"
3,0,760,0,-5873.333333333333,9000000,10,"480x270"
4,3.977,254,0.02322,-5961.7,9000000,10,"320x180"
5,3.977,254,0.110305,-5915.2,9000000,10,"320x180"
6,7.889,254,0.203729,-5885,9000000,10,"320x180"
7,7.761,254,0.246556,-5863.857142857143,9000000,10,"320x180"
8,11.753,254,0.346881,-5848.25,9000000,10,"320x180"
9,11.753,254,0.414307,-5836.266666666666,9000000,10,"320x180"
10,15.585,254,0.46621,-5826.781818181818,9000000,10,"320x180"
11,15.402,254,0.618089,-5819.090909090909,9000000,10,"320x180"
12,19.381,254,0.673529,-5812.7307692307695,9000000,10,"320x180"
13,19.261,254,0.786115,-5807.384615384615,9000000,10,"320x180"
14,19.261,254,0.800076,-5802.828571428571,9000000,10,"320x180"
15,22.464,254,1.712571,-5798.9,9000000,10,"320x180"
16,22.464,254,1.720601,-5795.47794117647,9000000,10,"320x180"
17,25.668,254,2.334878,-5792.470588235294,9000000,10,"320x180"
18,25.605,254,2.502194,-5789.80701754386,9000000,10,"320x180"
19,29.402,254,2.613592,-5787.4315789473685,9000000,10,"320x180"
20,33.245,254,2.773374,-5785.3,9000000,10,"320x180"
21,37.136,254,2.963443,-5783.376623376624,9000000,10,"320x180"
22,40.871,254,3.150747,-5781.632411067194,9000000,10,"320x180"
23,40.871,254,3.154124,-5780.04347826087,9000000,10,"320x180"
24,44.845,254,3.290497,-5778.59,9000000,10,"320x180"
25,44.845,254,3.314523,-5777.255384615384,9000000,10,"320x180"
26,48.605,254,3.45687,-5776.025641025641,9000000,10,"320x180"
27,48.527,254,3.481093,-5774.888888888889,9000000,10,"320x180"
28,52.168,507,3.872174,-5774.146551724138,9000000,10,"320x180"
29,52.074,507,3.985453,-5764.712643678161,9000000,10,"320x180"
30,52.074,507,4.015621,-5755.891397849462,9000000,10,"320x180"
31,51.984,507,4.13552,-5747.625,9000000,10,"320x180"
32,51.984,507,4.149354,-5739.862689393939,9000000,10,"320x180"
33,51.543,507,4.498012,-5732.559714795008,9000000,10,"320x180"
34,51.543,507,4.519114,-5725.676470588235,9000000,10,"320x180"
35,50.214,507,5.93378,-5719.177777777778,9000000,10,"320x180"
36,50.065,254,5.936669,-5726.897897897898,9000000,10,"320x180"
37,50.063,254,5.938174,-5727.365576102418,9000000,10,"320x180"
38,50.061,254,5.940449,-5727.811066126856,9000000,10,"320x180"
39,50.059,254,5.942623,-5728.235897435898,9000000,10,"320x180"
40,50.057,254,5.94456,-5728.641463414634,9000000,10,"320x180"
41,50.055,254,5.94648,-5729.029036004646,9000000,10,"320x180"
42,50.053,254,5.948528,-5729.399778516057,9000000,10,"320x180"
43,50.051,254,5.950449,-5729.754756871036,9000000,10,"320x180"
44,50.049,254,5.952472,-5730.094949494949,9000000,10,"320x180"
45,50.047,254,5.954852,-5730.421256038648,9000000,10,"320x180"
46,49.949,254,6.217551,-5730.734505087881,9000000,10,"320x180"
47,53.782,507,6.21982,-5731.147606382979,9000000,10,"320x180"
48,53.652,507,6.499171,-5726.269132653061,9000000,10,"320x180"
49,57.152,507,6.893333,-5721.586530612245,9000000,10,"320x180"
50,57.152,507,6.998421,-5717.088235294118,9000000,10,"320x180"
51,61,760,7.001806,-5712.858974358975,9000000,10,"480x270"
52,60.886,760,7.172386,-5703.920899854862,9000000,10,"480x270"
53,60.886,760,7.344967,-5695.314465408805,9000000,10,"480x270"
